#####################################################################
# Alchemist log file - simulation started at: 2025-02-19T18:53+0000 #
#####################################################################
#
# seed = 362.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
40.0 17 14.694240420457056 19.916594946952213 6.0 6.0 6.0 1.9 0.24 0.20 0.11 0.45 7.0 3.3 3.8 3.0 2.0 3.00 0.941 1.93 0.00 1.39 373 61.0 1.46e+04 1.27 121 1.76e+46 1.50e+45 2.08e+91 67.4 4.57e+45 873 251 1.07e+05 107 326
41.0 17 14.694240420457056 19.916594946952213 6.0 6.0 6.0 1.9 0.24 0.20 0.11 0.45 7.0 3.3 3.8 3.0 2.0 3.00 0.941 1.93 0.00 1.39 373 61.0 1.46e+04 1.27 121 1.76e+46 1.50e+45 2.08e+91 67.4 4.57e+45 873 251 1.07e+05 107 326
42.0 17 14.694240420457056 19.916594946952213 6.0 6.0 6.0 1.9 0.24 0.20 0.11 0.45 7.0 3.3 3.8 3.0 2.0 3.00 0.941 1.93 0.00 1.39 373 61.0 1.46e+04 1.27 121 1.76e+46 1.50e+45 2.08e+91 67.4 4.57e+45 873 251 1.07e+05 107 326
43.0 20 14.058849469723409 22.197651010480822 7.0 7.0 7.0 2.2 0.24 0.24 0.12 0.49 7.0 3.3 3.5 3.0 1.9 3.00 0.950 1.94 0.00 1.39 486 113 2.90e+04 4.20 170 1.76e+46 1.28e+45 1.79e+91 8.74 4.23e+45 873 274 9.38e+04 176 306
44.0 20 14.058849469723409 22.197651010480822 7.0 7.0 7.0 2.2 0.24 0.24 0.12 0.49 7.0 3.3 3.5 3.0 1.9 3.00 0.950 1.94 0.00 1.39 486 113 2.90e+04 4.20 170 1.76e+46 1.28e+45 1.79e+91 8.74 4.23e+45 1.21e+03 316 1.38e+05 176 371
45.0 20 14.058849469723409 22.197651010480822 7.0 7.0 7.0 2.2 0.24 0.24 0.12 0.49 7.0 3.3 3.5 3.0 1.9 3.00 0.950 1.94 0.00 1.39 486 113 2.90e+04 4.20 170 1.76e+46 1.28e+45 1.79e+91 8.74 4.23e+45 1.67e+03 358 2.19e+05 176 468
46.0 20 14.058849469723409 22.197651010480822 7.0 7.0 7.0 2.2 0.24 0.24 0.12 0.49 7.0 3.3 3.5 3.0 1.9 3.00 0.950 1.94 0.00 1.39 486 113 2.90e+04 4.20 170 1.76e+46 1.28e+45 1.79e+91 8.74 4.23e+45 1.71e+03 400 3.00e+05 176 548
47.0 20 14.058849469723409 22.197651010480822 7.0 7.0 7.0 2.2 0.24 0.24 0.12 0.49 7.0 3.3 3.5 3.0 1.9 3.00 0.950 1.94 0.00 1.39 486 113 2.90e+04 4.20 170 1.76e+46 1.28e+45 1.79e+91 8.74 4.23e+45 1.71e+03 442 3.77e+05 176 614
48.0 20 14.058849469723409 22.197651010480822 7.0 7.0 7.0 2.2 0.24 0.24 0.12 0.49 7.0 3.3 3.5 3.0 1.9 3.00 0.950 1.94 0.00 1.39 486 113 2.90e+04 4.20 170 1.76e+46 1.28e+45 1.79e+91 8.74 4.23e+45 1.71e+03 465 3.88e+05 176 623
49.0 20 14.058849469723409 22.197651010480822 7.0 7.0 7.0 2.2 0.24 0.24 0.12 0.49 7.0 3.3 3.5 3.0 1.9 3.00 0.950 1.94 0.00 1.39 486 113 2.90e+04 4.20 170 1.76e+46 1.28e+45 1.79e+91 9.31 4.23e+45 1.71e+03 482 3.82e+05 268 618
50.0 20 14.058849469723409 22.197651010480822 7.0 7.0 7.0 2.2 0.24 0.24 0.12 0.49 7.0 3.3 3.5 3.0 1.9 3.00 0.950 1.94 0.00 1.39 486 113 2.90e+04 4.20 170 7.62e+114 3.83e+113 2.90e+228 23.5 1.70e+114 1.71e+03 482 3.82e+05 268 618
51.0 20 14.058849469723409 22.197651010480822 7.0 7.0 7.0 2.2 0.24 0.24 0.12 0.49 7.0 3.3 3.5 3.0 1.9 3.00 0.950 1.94 0.00 1.39 486 113 2.90e+04 4.20 170 7.62e+114 3.83e+113 2.90e+228 23.5 1.70e+114 1.71e+03 482 3.82e+05 268 618
