#####################################################################
# Alchemist log file - simulation started at: 2025-03-03T13:29+0000 #
#####################################################################
#
# seed = 249.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
58.0 21 11.366952068047649 12.983095287628414 13.0 7.0 7.0 7.0 3.9 0.32 0.72 0.078 0.85 6.0 3.4 2.6 4.0 1.6 3.00 0.952 1.85 0.00 1.36 19.3 1.58 17.4 0.108 4.17 9.64e+04 1.00e+04 6.88e+08 16.4 2.62e+04 21.6 3.13 36.7 0.473 6.05
59.0 21 11.366952068047649 12.983095287628414 13.0 7.0 7.0 7.0 3.9 0.32 0.72 0.078 0.85 6.0 3.4 2.6 4.0 1.6 3.00 0.952 1.85 0.00 1.36 19.3 1.58 17.4 0.108 4.17 9.64e+04 1.00e+04 6.88e+08 16.4 2.62e+04 25.9 4.00 60.7 0.473 7.79
60.0 21 11.366952068047649 12.983095287628414 13.0 7.0 7.0 7.0 3.9 0.32 0.72 0.078 0.85 6.0 3.4 2.6 4.0 1.6 3.00 0.952 1.85 0.00 1.36 19.3 1.58 17.4 0.108 4.17 9.64e+04 1.00e+04 6.88e+08 16.4 2.62e+04 25.9 4.53 67.3 0.473 8.20
61.0 21 11.366952068047649 12.983095287628414 13.0 7.0 7.0 7.0 3.9 0.32 0.72 0.078 0.85 6.0 3.4 2.6 4.0 1.6 3.00 0.952 1.85 0.00 1.36 19.3 1.58 17.4 0.108 4.17 9.64e+04 1.00e+04 6.88e+08 16.4 2.62e+04 25.9 4.79 67.6 0.473 8.22
62.0 21 11.366952068047649 12.983095287628414 13.0 7.0 7.0 7.0 3.9 0.32 0.72 0.078 0.85 6.0 3.4 2.6 4.0 1.6 3.00 0.952 1.85 0.00 1.36 19.3 1.58 17.4 0.108 4.17 9.64e+04 1.00e+04 6.88e+08 16.4 2.62e+04 25.9 4.93 67.0 0.473 8.18
63.0 21 11.366952068047649 12.983095287628414 13.0 7.0 7.0 7.0 3.9 0.32 0.72 0.078 0.85 6.0 3.4 2.6 4.0 1.6 3.00 0.952 1.85 0.00 1.36 19.3 1.58 17.4 0.108 4.17 9.64e+04 1.00e+04 6.88e+08 16.4 2.62e+04 25.9 4.99 66.5 0.473 8.15
64.0 21 11.366952068047649 12.983095287628414 13.0 7.0 7.0 7.0 3.9 0.32 0.72 0.078 0.85 6.0 3.4 2.6 4.0 1.6 3.00 0.952 1.85 0.00 1.36 19.3 1.58 17.4 0.108 4.17 9.64e+04 1.00e+04 6.88e+08 16.4 2.62e+04 25.9 5.04 66.0 1.17 8.13
65.0 21 11.366952068047649 12.983095287628414 13.0 7.0 7.0 7.0 3.9 0.32 0.72 0.078 0.85 6.0 3.4 2.6 4.0 1.6 3.00 0.952 1.85 0.00 1.36 19.3 1.58 17.4 0.108 4.17 2.62e+07 1.32e+06 3.25e+13 76.8 5.70e+06 25.9 5.04 66.0 1.17 8.13
66.0 21 11.366952068047649 12.983095287628414 13.0 7.0 7.0 7.0 3.9 0.32 0.72 0.078 0.85 6.0 3.4 2.6 4.0 1.6 3.00 0.952 1.85 0.00 1.36 19.3 1.58 17.4 0.108 4.17 2.62e+07 1.32e+06 3.25e+13 76.8 5.70e+06 25.9 5.04 66.0 1.17 8.13
67.0 21 11.366952068047649 12.983095287628414 13.0 7.0 7.0 7.0 3.9 0.32 0.72 0.078 0.85 6.0 3.4 2.6 4.0 1.6 3.00 0.952 1.85 0.00 1.36 19.3 1.58 17.4 0.108 4.17 2.62e+07 1.32e+06 3.25e+13 76.8 5.70e+06 25.9 5.04 66.0 1.17 8.13
