#####################################################################
# Alchemist log file - simulation started at: 2025-02-18T11:24+0000 #
#####################################################################
#
# seed = 4.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
56.0 16 16.51838142843699 3.5703244500049633 6.0 6.0 6.0 1.5 0.22 0.13 0.12 0.36 5.0 3.0 2.0 3.0 1.4 3.00 0.938 1.40 0.500 1.18 0.109 0.101 4.59e-06 0.100 0.00214 16.7 4.52 26.7 2.09 5.17 0.164 0.0970 0.00117 0.100 0.0342
57.0 16 16.51838142843699 3.5703244500049633 6.0 6.0 6.0 1.5 0.22 0.13 0.12 0.36 5.0 3.0 2.0 3.0 1.4 3.00 0.938 1.40 0.500 1.18 0.109 0.101 4.59e-06 0.100 0.00214 16.7 4.52 26.7 2.09 5.17 0.164 0.0970 0.00117 0.100 0.0342
58.0 16 16.51838142843699 3.5703244500049633 6.0 6.0 6.0 1.5 0.22 0.13 0.12 0.36 5.0 3.0 2.0 3.0 1.4 3.00 0.938 1.40 0.500 1.18 0.109 0.101 4.59e-06 0.100 0.00214 17.7 4.72 31.8 2.09 5.64 0.164 0.0964 0.00113 0.100 0.0336
59.0 16 16.51838142843699 3.5703244500049633 6.0 6.0 6.0 1.5 0.22 0.13 0.12 0.36 5.0 3.0 2.0 3.0 1.4 3.00 0.938 1.40 0.500 1.18 0.109 0.101 4.59e-06 0.100 0.00214 17.7 3.76 28.0 1.84 5.30 0.164 0.0964 0.00113 0.100 0.0336
60.0 16 16.51838142843699 3.5703244500049633 6.0 6.0 6.0 1.5 0.22 0.13 0.12 0.36 5.0 3.0 2.0 3.0 1.4 3.00 0.938 1.40 0.500 1.18 0.109 0.101 4.59e-06 0.100 0.00214 17.7 3.76 28.0 1.84 5.30 0.164 0.0964 0.00113 0.100 0.0336
61.0 16 16.51838142843699 3.5703244500049633 6.0 6.0 6.0 1.5 0.22 0.13 0.12 0.36 5.0 3.0 2.0 3.0 1.4 3.00 0.938 1.40 0.500 1.18 0.109 0.101 4.59e-06 0.100 0.00214 17.7 3.76 28.0 1.84 5.30 0.164 0.0964 0.00113 0.100 0.0336
62.0 16 16.51838142843699 3.5703244500049633 6.0 6.0 6.0 1.5 0.22 0.13 0.12 0.36 5.0 3.0 2.0 3.0 1.4 3.00 0.938 1.40 0.500 1.18 0.109 0.101 4.59e-06 0.100 0.00214 17.7 3.76 28.0 1.84 5.30 0.164 0.0964 0.00113 0.100 0.0336
63.0 16 16.51838142843699 3.5703244500049633 6.0 6.0 6.0 1.5 0.22 0.13 0.12 0.36 5.0 3.0 2.0 3.0 1.4 3.00 0.938 1.40 0.500 1.18 0.109 0.101 4.59e-06 0.100 0.00214 17.7 3.76 28.0 1.84 5.30 0.164 0.0964 0.00113 0.100 0.0336
64.0 17 15.974439773928005 3.2937645209475828 6.0 6.0 6.0 1.6 0.22 0.14 0.12 0.37 5.0 3.2 1.9 3.0 1.4 3.00 0.941 1.31 1.00 1.14 0.109 0.101 4.34e-06 0.100 0.00208 17.7 3.54 27.1 1.71 5.21 0.164 0.0966 0.00106 0.100 0.0325
65.0 17 15.974439773928005 3.2937645209475828 6.0 6.0 6.0 1.6 0.22 0.14 0.12 0.37 5.0 3.2 1.9 3.0 1.4 3.00 0.941 1.31 1.00 1.14 0.109 0.101 4.34e-06 0.100 0.00208 17.7 3.54 27.1 1.71 5.21 0.164 0.0937 0.00118 0.100 0.0344
