#####################################################################
# Alchemist log file - simulation started at: 2024-12-05T09:41+0000 #
#####################################################################
#
# seed = 6.0
#
# The columns have the following meaning: 
# time children-count[min] children-count[max] children-count[mean] local-success[min] local-success[max] local-success[mean] resource[min] resource[max] resource[mean] success[min] success[max] success[mean] local-resource[min] local-resource[max] local-resource[mean] 
94.06460426246409 0.00 1.00 0.667 0.00373 0.260 0.0891 500 500 500 0.260 0.264 0.262 500 1.00e+03 833
95.06460426246409 0.00 2.00 0.500 0.000302 6.02 1.57 0.00 507 336 0.000302 6.02 1.64 0.00 1.00e+03 502
96.06460426246409 0.00 2.00 0.750 0.000302 6.02 1.57 0.774 333 222 0.000302 6.28 4.65 0.774 1.00e+03 500
97.06460426246409 0.00 2.00 0.750 0.000302 6.02 1.57 0.0321 333 222 0.000302 6.28 4.65 0.0321 1.00e+03 500
98.06460426246409 0.00 2.00 1.00 0.00373 6.02 2.09 333 333 333 6.02 6.28 6.19 333 1.00e+03 667
99.06460426246409 0.00 1.00 0.667 0.00373 6.02 2.09 333 333 333 6.02 6.28 6.19 333 1.00e+03 667
100.06460426246409 0.00 1.00 0.667 0.00373 6.02 2.09 250 250 250 6.02 6.28 6.19 250 1.00e+03 583
#####################################################################
# End of data export. Simulation finished at: 2024-12-05T09:41+0000 #
#####################################################################
