#####################################################################
# Alchemist log file - simulation started at: 2025-02-10T09:23+0000 #
#####################################################################
#
# maxChildren = 3.0, maxResource = 3.0, maxSuccess = 500.0, resourceLowerBound = 5.0, seed = 0.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[variance] network-diameter[median] network-diameter[StandardDeviation] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] network-degree[max] network-degree[mean] network-degree[variance] network-degree[median] network-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
59.0 23 -1.0907926846003106 17.38678138541939 8.0 8.0 0.0 8.0 0.0 1.9 0.28 0.18 0.13 0.42 7.0 3.9 2.8 4.0 1.7 3.00 0.957 1.95 0.00 1.40 449 172 2.86e+04 154 169 3.81e+136 2.19e+135 6.73e+271 16.7 8.20e+135 2.58e+03 716 7.79e+05 380 883
60.0 23 -1.0907926846003106 17.38678138541939 8.0 8.0 0.0 8.0 0.0 1.9 0.28 0.18 0.13 0.42 7.0 3.9 2.8 4.0 1.7 3.00 0.957 1.95 0.00 1.40 449 172 2.86e+04 154 169 3.81e+136 2.19e+135 6.73e+271 16.7 8.20e+135 2.58e+03 724 8.02e+05 380 896
61.0 23 -1.0907926846003106 17.38678138541939 8.0 8.0 0.0 8.0 0.0 1.9 0.28 0.18 0.13 0.42 7.0 3.9 2.8 4.0 1.7 3.00 0.957 1.95 0.00 1.40 449 172 2.86e+04 154 169 3.81e+136 2.19e+135 6.73e+271 16.7 8.20e+135 2.64e+03 732 8.33e+05 380 913
62.0 23 -1.0907926846003106 17.38678138541939 8.0 8.0 0.0 8.0 0.0 1.9 0.28 0.18 0.13 0.42 7.0 3.9 2.8 4.0 1.7 3.00 0.957 1.95 0.00 1.40 449 172 2.86e+04 154 169 3.81e+136 2.19e+135 6.73e+271 16.7 8.20e+135 2.74e+03 740 8.64e+05 380 930
63.0 23 -1.0907926846003106 17.38678138541939 8.0 8.0 0.0 8.0 0.0 1.9 0.28 0.18 0.13 0.42 7.0 3.9 2.8 4.0 1.7 3.00 0.957 1.95 0.00 1.40 449 172 2.86e+04 154 169 3.81e+136 2.19e+135 6.73e+271 16.7 8.20e+135 2.76e+03 748 8.96e+05 380 947
64.0 23 -1.0907926846003106 17.38678138541939 8.0 8.0 0.0 8.0 0.0 1.9 0.28 0.18 0.13 0.42 7.0 3.9 2.8 4.0 1.7 3.00 0.957 1.95 0.00 1.40 449 172 2.86e+04 154 169 3.81e+136 2.19e+135 6.73e+271 17.7 8.20e+135 2.76e+03 754 9.02e+05 380 950
65.0 23 -1.0907926846003106 17.38678138541939 8.0 8.0 0.0 8.0 0.0 1.9 0.28 0.18 0.13 0.42 7.0 3.9 2.8 4.0 1.7 3.00 0.957 1.95 0.00 1.40 449 172 2.86e+04 154 169 5.22e+115 2.38e+114 1.18e+230 17.3 1.09e+115 2.76e+03 754 9.02e+05 380 950
66.0 23 -1.0907926846003106 17.38678138541939 8.0 8.0 0.0 8.0 0.0 1.9 0.28 0.18 0.13 0.42 7.0 3.9 2.8 4.0 1.7 3.00 0.957 1.95 0.00 1.40 449 172 2.86e+04 154 169 5.22e+115 2.38e+114 1.18e+230 17.3 1.09e+115 2.76e+03 754 9.02e+05 380 950
67.0 23 -1.0907926846003106 17.38678138541939 8.0 8.0 0.0 8.0 0.0 1.9 0.28 0.18 0.13 0.42 7.0 3.9 2.8 4.0 1.7 3.00 0.957 1.95 0.00 1.40 449 172 2.86e+04 154 169 5.22e+115 2.38e+114 1.18e+230 17.3 1.09e+115 2.76e+03 754 9.02e+05 380 950
68.0 23 -1.0907926846003106 17.38678138541939 8.0 8.0 0.0 8.0 0.0 1.9 0.28 0.18 0.13 0.42 7.0 3.9 2.8 4.0 1.7 3.00 0.957 1.95 0.00 1.40 449 172 2.86e+04 154 169 5.22e+115 2.38e+114 1.18e+230 17.3 1.09e+115 2.76e+03 754 9.02e+05 380 950
69.0 23 -1.0907926846003106 17.38678138541939 8.0 8.0 0.0 8.0 0.0 1.9 0.28 0.18 0.13 0.42 7.0 3.9 2.8 4.0 1.7 3.00 0.957 1.95 0.00 1.40 449 172 2.86e+04 154 169 5.22e+115 2.38e+114 1.18e+230 17.3 1.09e+115 2.76e+03 754 9.02e+05 380 950
70.0 23 -1.0907926846003106 17.38678138541939 8.0 8.0 0.0 8.0 0.0 1.9 0.28 0.18 0.13 0.42 7.0 3.9 2.8 4.0 1.7 3.00 0.957 1.95 0.00 1.40 449 172 2.86e+04 154 169 5.22e+115 2.38e+114 1.18e+230 17.3 1.09e+115 2.76e+03 754 9.02e+05 380 950
